Provincia,Mes,Variable,Valor
BUENOS AIRES                         ,Abr,Humedad relativa (%),77.75714285714285
BUENOS AIRES                         ,May,Humedad relativa (%),81.11428571428573
BUENOS AIRES                         ,Jun,Humedad relativa (%),80.36190476190475
BUENOS AIRES                         ,Jul,Humedad relativa (%),75.55238095238096
BUENOS AIRES                         ,Ago,Humedad relativa (%),75.1952380952381
BUENOS AIRES                         ,Sep,Humedad relativa (%),73.1904761904762
BUENOS AIRES                         ,Oct,Humedad relativa (%),73.22857142857144
BUENOS AIRES                         ,Nov,Humedad relativa (%),68.6
BUENOS AIRES                         ,Dic,Humedad relativa (%),64.79047619047617
BUENOS AIRES                         ,Ene,Nubosidad total (octavos),3.2095238095238092
BUENOS AIRES                         ,Feb,Nubosidad total (octavos),3.2142857142857144
BUENOS AIRES                         ,Mar,Nubosidad total (octavos),3.3619047619047615
BUENOS AIRES                         ,Abr,Nubosidad total (octavos),3.6619047619047613
BUENOS AIRES                         ,May,Nubosidad total (octavos),4.2
BUENOS AIRES                         ,Jun,Nubosidad total (octavos),4.295238095238095
BUENOS AIRES                         ,Jul,Nubosidad total (octavos),4.076190476190476
BUENOS AIRES                         ,Ago,Nubosidad total (octavos),4.033333333333333
BUENOS AIRES                         ,Sep,Nubosidad total (octavos),3.999999999999999
BUENOS AIRES                         ,Oct,Nubosidad total (octavos),4.114285714285715
BUENOS AIRES                         ,Nov,Nubosidad total (octavos),3.6761904761904756
BUENOS AIRES                         ,Dic,Nubosidad total (octavos),3.385714285714286
BUENOS AIRES                         ,Ene,Precipitación (mm),102.53333333333333
BUENOS AIRES                         ,Feb,Precipitación (mm),99.4095238095238
BUENOS AIRES                         ,Mar,Precipitación (mm),104.47142857142856
BUENOS AIRES                         ,Abr,Precipitación (mm),94.22380952380952
BUENOS AIRES                         ,May,Precipitación (mm),60.23809523809524
BUENOS AIRES                         ,Jun,Precipitación (mm),43.73809523809524
BUENOS AIRES                         ,Jul,Precipitación (mm),44.842857142857135
BUENOS AIRES                         ,Ago,Precipitación (mm),52.15714285714286
BUENOS AIRES                         ,Sep,Precipitación (mm),59.38571428571427
BUENOS AIRES                         ,Oct,Precipitación (mm),100.41904761904763
BUENOS AIRES                         ,Nov,Precipitación (mm),94.93333333333335
BUENOS AIRES                         ,Dic,Precipitación (mm),90.20952380952382
BUENOS AIRES                         ,Ene,Temperatura (°C),21.514285714285716
BUENOS AIRES                         ,Feb,Temperatura (°C),20.39047619047619
BUENOS AIRES                         ,Mar,Temperatura (°C),19.223809523809525
BUENOS AIRES                         ,Abr,Temperatura (°C),15.252380952380955
BUENOS AIRES                         ,May,Temperatura (°C),11.795238095238096
BUENOS AIRES                         ,Jun,Temperatura (°C),8.838095238095239
BUENOS AIRES                         ,Jul,Temperatura (°C),7.676190476190476
BUENOS AIRES                         ,Ago,Temperatura (°C),9.876190476190477
BUENOS AIRES                         ,Sep,Temperatura (°C),11.995238095238095
BUENOS AIRES                         ,Oct,Temperatura (°C),15.123809523809525
BUENOS AIRES                         ,Nov,Temperatura (°C),18.3
BUENOS AIRES                         ,Dic,Temperatura (°C),21.209523809523812
BUENOS AIRES                         ,Ene,Temperatura máxima (°C),27.890476190476193
BUENOS AIRES                         ,Feb,Temperatura máxima (°C),25.285714285714285
BUENOS AIRES                         ,Mar,Temperatura máxima (°C),24.514285714285716
BUENOS AIRES                         ,Abr,Temperatura máxima (°C),20.633333333333333
BUENOS AIRES                         ,May,Temperatura máxima (°C),16.842857142857138
BUENOS AIRES                         ,Jun,Temperatura máxima (°C),13.8
BUENOS AIRES                         ,Jul,Temperatura máxima (°C),13.023809523809524
BUENOS AIRES                         ,Ago,Temperatura máxima (°C),15.433333333333332
BUENOS AIRES                         ,Sep,Temperatura máxima (°C),17.323809523809523
BUENOS AIRES                         ,Oct,Temperatura máxima (°C),20.076190476190476
BUENOS AIRES                         ,Nov,Temperatura máxima (°C),23.538095238095238
BUENOS AIRES                         ,Dic,Temperatura máxima (°C),26.74285714285715
BUENOS AIRES                         ,Ene,Temperatura mínima (°C),15.042857142857144
BUENOS AIRES                         ,Feb,Temperatura mínima (°C),13.742857142857144
BUENOS AIRES                         ,Mar,Temperatura mínima (°C),12.67619047619048
BUENOS AIRES                         ,Abr,Temperatura mínima (°C),9.328571428571431
BUENOS AIRES                         ,May,Temperatura mínima (°C),6.595238095238094
BUENOS AIRES                         ,Jun,Temperatura mínima (°C),3.8428571428571425
BUENOS AIRES                         ,Jul,Temperatura mínima (°C),3.019047619047619
BUENOS AIRES                         ,Ago,Temperatura mínima (°C),4.29047619047619
BUENOS AIRES                         ,Sep,Temperatura mínima (°C),5.909523809523809
BUENOS AIRES                         ,Oct,Temperatura mínima (°C),8.785714285714286
BUENOS AIRES                         ,Nov,Temperatura mínima (°C),11.242857142857146
BUENOS AIRES                         ,Dic,Temperatura mínima (°C),13.55238095238095
BUENOS AIRES                         ,Ene,Velocidad del Viento (km/h) (2011-2020),5.923809523809524
BUENOS AIRES                         ,Feb,Velocidad del Viento (km/h) (2011-2020),5.261904761904762
BUENOS AIRES                         ,Mar,Velocidad del Viento (km/h) (2011-2020),5.0095238095238095
BUENOS AIRES                         ,Abr,Velocidad del Viento (km/h) (2011-2020),4.800000000000001
BUENOS AIRES                         ,May,Velocidad del Viento (km/h) (2011-2020),4.533333333333333
BUENOS AIRES                         ,Jun,Velocidad del Viento (km/h) (2011-2020),4.909523809523809
BUENOS AIRES                         ,Jul,Velocidad del Viento (km/h) (2011-2020),5.076190476190478
BUENOS AIRES                         ,Ago,Velocidad del Viento (km/h) (2011-2020),5.614285714285714
BUENOS AIRES                         ,Sep,Velocidad del Viento (km/h) (2011-2020),5.971428571428571
BUENOS AIRES                         ,Oct,Velocidad del Viento (km/h) (2011-2020),5.980952380952381
BUENOS AIRES                         ,Nov,Velocidad del Viento (km/h) (2011-2020),6.123809523809523
BUENOS AIRES                         ,Dic,Velocidad del Viento (km/h) (2011-2020),6.0095238095238095
CAPITAL FEDERAL,Ene,Frecuencia de días con Precipitación superior a 1.0 mm,7.1
CAPITAL FEDERAL,Feb,Frecuencia de días con Precipitación superior a 1.0 mm,6.4
CAPITAL FEDERAL,Mar,Frecuencia de días con Precipitación superior a 1.0 mm,6.300000000000001
CAPITAL FEDERAL,Abr,Frecuencia de días con Precipitación superior a 1.0 mm,6.85
CAPITAL FEDERAL,May,Frecuencia de días con Precipitación superior a 1.0 mm,5.1
CAPITAL FEDERAL,Jun,Frecuencia de días con Precipitación superior a 1.0 mm,4.7
CAPITAL FEDERAL,Jul,Frecuencia de días con Precipitación superior a 1.0 mm,5.3
CAPITAL FEDERAL,Ago,Frecuencia de días con Precipitación superior a 1.0 mm,4.95
CAPITAL FEDERAL,Sep,Frecuencia de días con Precipitación superior a 1.0 mm,5.65
CAPITAL FEDERAL,Oct,Frecuencia de días con Precipitación superior a 1.0 mm,7.7
CAPITAL FEDERAL,Nov,Frecuencia de días con Precipitación superior a 1.0 mm,7.0
CAPITAL FEDERAL,Dic,Frecuencia de días con Precipitación superior a 1.0 mm,6.75
CAPITAL FEDERAL,Ene,Humedad relativa (%),65.8
CAPITAL FEDERAL,Feb,Humedad relativa (%),69.44999999999999
CAPITAL FEDERAL,Mar,Humedad relativa (%),71.65
CAPITAL FEDERAL,Abr,Humedad relativa (%),74.6
CAPITAL FEDERAL,May,Humedad relativa (%),77.55000000000001
CAPITAL FEDERAL,Jun,Humedad relativa (%),77.25
CAPITAL FEDERAL,Jul,Humedad relativa (%),76.25
CAPITAL FEDERAL,Ago,Humedad relativa (%),73.1
CAPITAL FEDERAL,Sep,Humedad relativa (%),70.3
CAPITAL FEDERAL,Oct,Humedad relativa (%),70.0
CAPITAL FEDERAL,Nov,Humedad relativa (%),66.15
CAPITAL FEDERAL,Dic,Humedad relativa (%),63.949999999999996
CAPITAL FEDERAL,Ene,Nubosidad total (octavos),3.1500000000000004
CAPITAL FEDERAL,Feb,Nubosidad total (octavos),3.2
CAPITAL FEDERAL,Mar,Nubosidad total (octavos),3.1500000000000004
CAPITAL FEDERAL,Abr,Nubosidad total (octavos),3.55
CAPITAL FEDERAL,May,Nubosidad total (octavos),4.05
CAPITAL FEDERAL,Jun,Nubosidad total (octavos),4.25
CAPITAL FEDERAL,Jul,Nubosidad total (octavos),4.15
CAPITAL FEDERAL,Ago,Nubosidad total (octavos),3.95
CAPITAL FEDERAL,Sep,Nubosidad total (octavos),3.8499999999999996
CAPITAL FEDERAL,Oct,Nubosidad total (octavos),3.95
CAPITAL FEDERAL,Nov,Nubosidad total (octavos),3.55
CAPITAL FEDERAL,Dic,Nubosidad total (octavos),3.2
CAPITAL FEDERAL,Ene,Precipitación (mm),125.95
CAPITAL FEDERAL,Feb,Precipitación (mm),120.80000000000001
CAPITAL FEDERAL,Mar,Precipitación (mm),115.9
CAPITAL FEDERAL,Abr,Precipitación (mm),119.30000000000001
CAPITAL FEDERAL,May,Precipitación (mm),88.4
CAPITAL FEDERAL,Jun,Precipitación (mm),58.05
CAPITAL FEDERAL,Jul,Precipitación (mm),69.35
CAPITAL FEDERAL,Ago,Precipitación (mm),65.9
CAPITAL FEDERAL,Sep,Precipitación (mm),76.6
CAPITAL FEDERAL,Oct,Precipitación (mm),113.80000000000001
CAPITAL FEDERAL,Nov,Precipitación (mm),110.4
CAPITAL FEDERAL,Dic,Precipitación (mm),117.8
CAPITAL FEDERAL,Ene,Temperatura (°C),24.7
CAPITAL FEDERAL,Feb,Temperatura (°C),23.75
CAPITAL FEDERAL,Mar,Temperatura (°C),22.0
CAPITAL FEDERAL,Abr,Temperatura (°C),18.35
CAPITAL FEDERAL,May,Temperatura (°C),15.0
CAPITAL FEDERAL,Jun,Temperatura (°C),12.15
CAPITAL FEDERAL,Jul,Temperatura (°C),11.15
CAPITAL FEDERAL,Ago,Temperatura (°C),12.95
CAPITAL FEDERAL,Sep,Temperatura (°C),14.8
CAPITAL FEDERAL,Oct,Temperatura (°C),17.799999999999997
CAPITAL FEDERAL,Nov,Temperatura (°C),20.75
CAPITAL FEDERAL,Dic,Temperatura (°C),23.4
CAPITAL FEDERAL,Ene,Temperatura máxima (°C),29.25
CAPITAL FEDERAL,Feb,Temperatura máxima (°C),28.1
CAPITAL FEDERAL,Mar,Temperatura máxima (°C),26.25
CAPITAL FEDERAL,Abr,Temperatura máxima (°C),22.6
CAPITAL FEDERAL,May,Temperatura máxima (°C),18.9
CAPITAL FEDERAL,Jun,Temperatura máxima (°C),15.95
CAPITAL FEDERAL,Jul,Temperatura máxima (°C),14.95
CAPITAL FEDERAL,Ago,Temperatura máxima (°C),17.2
CAPITAL FEDERAL,Sep,Temperatura máxima (°C),19.0
CAPITAL FEDERAL,Oct,Temperatura máxima (°C),21.85
CAPITAL FEDERAL,Nov,Temperatura máxima (°C),25.25
CAPITAL FEDERAL,Dic,Temperatura máxima (°C),28.2
CAPITAL FEDERAL,Ene,Temperatura mínima (°C),20.5
CAPITAL FEDERAL,Feb,Temperatura mínima (°C),19.799999999999997
CAPITAL FEDERAL,Mar,Temperatura mínima (°C),18.25
CAPITAL FEDERAL,Abr,Temperatura mínima (°C),14.7
CAPITAL FEDERAL,May,Temperatura mínima (°C),11.7
CAPITAL FEDERAL,Jun,Temperatura mínima (°C),8.9
CAPITAL FEDERAL,Jul,Temperatura mínima (°C),7.95
CAPITAL FEDERAL,Ago,Temperatura mínima (°C),9.3
CAPITAL FEDERAL,Sep,Temperatura mínima (°C),11.05
CAPITAL FEDERAL,Oct,Temperatura mínima (°C),13.850000000000001
CAPITAL FEDERAL,Nov,Temperatura mínima (°C),16.450000000000003
CAPITAL FEDERAL,Dic,Temperatura mínima (°C),18.85
CAPITAL FEDERAL,Ene,Velocidad del Viento (km/h) (2011-2020),12.850000000000001
CAPITAL FEDERAL,Feb,Velocidad del Viento (km/h) (2011-2020),12.05
CAPITAL FEDERAL,Mar,Velocidad del Viento (km/h) (2011-2020),11.25
CAPITAL FEDERAL,Abr,Velocidad del Viento (km/h) (2011-2020),10.55
CAPITAL FEDERAL,May,Velocidad del Viento (km/h) (2011-2020),10.0
CAPITAL FEDERAL,Jun,Velocidad del Viento (km/h) (2011-2020),9.7
CAPITAL FEDERAL,Jul,Velocidad del Viento (km/h) (2011-2020),10.45
CAPITAL FEDERAL,Ago,Velocidad del Viento (km/h) (2011-2020),11.2
CAPITAL FEDERAL,Sep,Velocidad del Viento (km/h) (2011-2020),12.9
CAPITAL FEDERAL,Oct,Velocidad del Viento (km/h) (2011-2020),13.35
CAPITAL FEDERAL,Nov,Velocidad del Viento (km/h) (2011-2020),13.350000000000001
CAPITAL FEDERAL,Dic,Velocidad del Viento (km/h) (2011-2020),12.5
CATAMARCA                            ,Ene,Frecuencia de días con Precipitación superior a 1.0 mm,5.9
CATAMARCA                            ,Feb,Frecuencia de días con Precipitación superior a 1.0 mm,5.1
CATAMARCA                            ,Mar,Frecuencia de días con Precipitación superior a 1.0 mm,3.9499999999999997
CATAMARCA                            ,Abr,Frecuencia de días con Precipitación superior a 1.0 mm,2.5
CATAMARCA                            ,May,Frecuencia de días con Precipitación superior a 1.0 mm,1.5
CATAMARCA                            ,Jun,Frecuencia de días con Precipitación superior a 1.0 mm,0.8
CATAMARCA                            ,Jul,Frecuencia de días con Precipitación superior a 1.0 mm,0.8500000000000001
CATAMARCA                            ,Ago,Frecuencia de días con Precipitación superior a 1.0 mm,0.44999999999999996
CATAMARCA                            ,Sep,Frecuencia de días con Precipitación superior a 1.0 mm,0.95
CATAMARCA                            ,Oct,Frecuencia de días con Precipitación superior a 1.0 mm,1.9
CATAMARCA                            ,Nov,Frecuencia de días con Precipitación superior a 1.0 mm,2.65
CATAMARCA                            ,Dic,Frecuencia de días con Precipitación superior a 1.0 mm,4.5
CATAMARCA                            ,Ene,Humedad relativa (%),55.25
CATAMARCA                            ,Feb,Humedad relativa (%),58.650000000000006
CATAMARCA                            ,Mar,Humedad relativa (%),61.2
CATAMARCA                            ,Abr,Humedad relativa (%),63.05
CATAMARCA                            ,May,Humedad relativa (%),64.6
CATAMARCA                            ,Jun,Humedad relativa (%),61.55
CATAMARCA                            ,Jul,Humedad relativa (%),55.099999999999994
CATAMARCA                            ,Ago,Humedad relativa (%),45.35
CATAMARCA                            ,Sep,Humedad relativa (%),42.85
CATAMARCA                            ,Oct,Humedad relativa (%),45.349999999999994
CATAMARCA                            ,Nov,Humedad relativa (%),47.55
CATAMARCA                            ,Dic,Humedad relativa (%),49.85
CATAMARCA                            ,Ene,Nubosidad total (octavos),3.9
CATAMARCA                            ,Feb,Nubosidad total (octavos),3.75
CATAMARCA                            ,Mar,Nubosidad total (octavos),3.4
CATAMARCA                            ,Abr,Nubosidad total (octavos),3.15
CATAMARCA                            ,May,Nubosidad total (octavos),3.25
CATAMARCA                            ,Jun,Nubosidad total (octavos),3.0999999999999996
CATAMARCA                            ,Jul,Nubosidad total (octavos),2.5
CATAMARCA                            ,Ago,Nubosidad total (octavos),2.2
CATAMARCA                            ,Sep,Nubosidad total (octavos),2.35
CATAMARCA                            ,Oct,Nubosidad total (octavos),2.75
CATAMARCA                            ,Nov,Nubosidad total (octavos),3.05
CATAMARCA                            ,Dic,Nubosidad total (octavos),3.35
CATAMARCA                            ,Ene,Precipitación (mm),59.150000000000006
CATAMARCA                            ,Feb,Precipitación (mm),50.4
CATAMARCA                            ,Mar,Precipitación (mm),34.0
CATAMARCA                            ,Abr,Precipitación (mm),18.650000000000002
CATAMARCA                            ,May,Precipitación (mm),7.8999999999999995
CATAMARCA                            ,Jun,Precipitación (mm),4.75
CATAMARCA                            ,Jul,Precipitación (mm),3.05
CATAMARCA                            ,Ago,Precipitación (mm),2.05
CATAMARCA                            ,Sep,Precipitación (mm),3.55
CATAMARCA                            ,Oct,Precipitación (mm),14.649999999999999
CATAMARCA                            ,Nov,Precipitación (mm),26.55
CATAMARCA                            ,Dic,Precipitación (mm),47.35
CATAMARCA                            ,Ene,Temperatura (°C),26.85
CATAMARCA                            ,Feb,Temperatura (°C),25.549999999999997
CATAMARCA                            ,Mar,Temperatura (°C),23.75
CATAMARCA                            ,Abr,Temperatura (°C),19.75
CATAMARCA                            ,May,Temperatura (°C),15.1
CATAMARCA                            ,Jun,Temperatura (°C),11.6
CATAMARCA                            ,Jul,Temperatura (°C),10.95
CATAMARCA                            ,Ago,Temperatura (°C),14.75
CATAMARCA                            ,Sep,Temperatura (°C),18.5
CATAMARCA                            ,Oct,Temperatura (°C),22.6
CATAMARCA                            ,Nov,Temperatura (°C),25.1
CATAMARCA                            ,Dic,Temperatura (°C),26.9
CATAMARCA                            ,Ene,Temperatura máxima (°C),34.15
CATAMARCA                            ,Feb,Temperatura máxima (°C),32.75
CATAMARCA                            ,Mar,Temperatura máxima (°C),31.15
CATAMARCA                            ,Abr,Temperatura máxima (°C),27.4
CATAMARCA                            ,May,Temperatura máxima (°C),23.0
CATAMARCA                            ,Jun,Temperatura máxima (°C),20.25
CATAMARCA                            ,Jul,Temperatura máxima (°C),20.15
CATAMARCA                            ,Ago,Temperatura máxima (°C),23.950000000000003
CATAMARCA                            ,Sep,Temperatura máxima (°C),27.1
CATAMARCA                            ,Oct,Temperatura máxima (°C),30.5
CATAMARCA                            ,Nov,Temperatura máxima (°C),32.7
CATAMARCA                            ,Dic,Temperatura máxima (°C),34.400000000000006
CATAMARCA                            ,Ene,Temperatura mínima (°C),20.4
CATAMARCA                            ,Feb,Temperatura mínima (°C),19.200000000000003
CATAMARCA                            ,Mar,Temperatura mínima (°C),17.45
CATAMARCA                            ,Abr,Temperatura mínima (°C),12.75
CATAMARCA                            ,May,Temperatura mínima (°C),7.7
CATAMARCA                            ,Jun,Temperatura mínima (°C),3.5
CATAMARCA                            ,Jul,Temperatura mínima (°C),2.35
CATAMARCA                            ,Ago,Temperatura mínima (°C),5.2
CATAMARCA                            ,Sep,Temperatura mínima (°C),9.35
CATAMARCA                            ,Oct,Temperatura mínima (°C),14.149999999999999
CATAMARCA                            ,Nov,Temperatura mínima (°C),17.450000000000003
CATAMARCA                            ,Dic,Temperatura mínima (°C),19.65
CATAMARCA                            ,Ene,Velocidad del Viento (km/h) (2011-2020),11.0
CATAMARCA                            ,Feb,Velocidad del Viento (km/h) (2011-2020),9.9
CATAMARCA                            ,Mar,Velocidad del Viento (km/h) (2011-2020),9.45
CATAMARCA                            ,Abr,Velocidad del Viento (km/h) (2011-2020),7.75
CATAMARCA                            ,May,Velocidad del Viento (km/h) (2011-2020),6.5
CATAMARCA                            ,Jun,Velocidad del Viento (km/h) (2011-2020),5.75
CATAMARCA                            ,Jul,Velocidad del Viento (km/h) (2011-2020),6.2
CATAMARCA                            ,Ago,Velocidad del Viento (km/h) (2011-2020),8.3
CATAMARCA                            ,Sep,Velocidad del Viento (km/h) (2011-2020),9.55
CATAMARCA                            ,Oct,Velocidad del Viento (km/h) (2011-2020),10.85
CATAMARCA                            ,Nov,Velocidad del Viento (km/h) (2011-2020),12.0
CATAMARCA                            ,Dic,Velocidad del Viento (km/h) (2011-2020),11.8
CHACO                             ,Ene,Frecuencia de días con Precipitación superior a 1.0 mm,7.6
CHACO                             ,Feb,Frecuencia de días con Precipitación superior a 1.0 mm,6.5
CHACO                             ,Mar,Frecuencia de días con Precipitación superior a 1.0 mm,7.3
CHACO                             ,Abr,Frecuencia de días con Precipitación superior a 1.0 mm,6.6
